Epoch, Train_Loss, Val_Loss, BLEU, LR
1,5.547640373504239,5.260593194227952,3.216201394624448,0.0009979871469976197
2,5.04769566272079,5.090786402042095,3.4074366288817166,0.0009919647942993148
3,4.834257919544228,5.014456308805025,2.416775975528434,0.0009819814303479266
4,4.658970932555355,4.983695580409123,0.9674462653727944,0.0009681174353198686
5,4.512467383299518,5.0102305228893576,4.330715879590814,0.0009504844339512095
6,4.381626855314168,5.034862133172842,2.843064788953193,0.000929224396800933
7,4.262389511843912,5.073705599858211,2.7966605790868257,0.0009045084971874737
8,4.150931278345112,5.169769085370577,2.562242475842758,0.0008765357330018055
9,4.048157004229643,5.186598062515259,3.1625662838501523,0.0008455313244934324
10,3.9482108803875824,5.268380128420317,3.8499766548208934,0.0008117449009293668
11,3.8515660451128593,5.301475910040049,3.792967159729475,0.0007754484907260512
12,3.759708196249403,5.363952948496892,2.6893457530660494,0.0007369343312364993
13,3.673805323561292,5.411548486122718,4.368098151477091,0.0006965125158269618
14,3.592914819197977,5.441006165284377,2.4932586565719257,0.0006545084971874737
15,3.5205026722162116,5.509207982283372,0.42481513666443665,0.0006112604669781572
16,3.4520756533462755,5.529248109230628,3.4232488244116577,0.0005671166329088278
17,3.3890735069391256,5.590034833321204,3.97003082713568,0.0005224324151752575
18,3.3290910819516983,5.643207531708938,4.011912313687056,0.0004775675848247426
19,3.271201297348621,5.690880848811223,3.392685174855139,0.0004328833670911723
20,3.217032747850439,5.727842807769775,3.1228160446455933,0.00038873953302184284
21,3.165854044729328,5.769379799182598,4.054798203145394,0.00034549150281252633
22,3.116603226962952,5.796681917630709,2.7481987126400043,0.0003034874841730383
23,3.0745179403841107,5.831191631463858,2.7481987126400043,0.0002630656687635007
24,3.0311306302064382,5.860773214927087,3.156950251008124,0.0002245515092739488
25,2.9924990024441986,5.869347737385676,3.24697548182656,0.00018825509907063325
26,2.9574578862823953,5.892636592571552,3.181754810636018,0.00015446867550656767
27,2.926495701139529,5.912911763558021,3.0029769928234593,0.00012346426699819457
28,2.898552954846218,5.946973929038415,3.1788332345293644,9.549150281252633e-05
29,2.8754085029651915,5.9563460900233345,3.0029769928234593,7.077560319906695e-05
30,2.853518220074556,5.969965494596041,3.4231158908355446,4.9515566048790485e-05
31,2.8394850224970734,5.973558297524085,3.219572394985572,3.18825646801314e-05
32,2.8251677671029416,5.9849359805767355,3.1407592849924018,1.801856965207338e-05
33,2.8161826009064717,5.9864819416633015,3.1826189226680595,8.035205700685167e-06
34,2.8100395467546253,5.9944484784052925,3.1826189226680595,2.012853002380466e-06
35,2.805281634424247,5.995071832950298,3.1826189226680595,0.001
36,3.320775038796053,5.775697799829336,2.746936266210034,0.0009979871469976197
37,3.4001101922885004,5.729482595737164,2.817803290937034,0.0009919647942993148
38,3.3914702972295756,5.706363219481248,3.9403761223131433,0.0009819814303479266
39,3.3767973130045372,5.690385525043194,2.6952091592304925,0.0009681174353198686
40,3.3524665302700467,5.739543217879075,3.8823562979907758,0.0009504844339512095
41,3.326117399211543,5.7169572573441725,3.4232488244116577,0.000929224396800933
42,3.2983967281374795,5.750186608387874,3.3775972522987057,0.0009045084971874737
43,3.2634045750487086,5.7636952583606424,3.290603899036382,0.0008765357330018055
44,3.2322044019345886,5.796426479633038,0.4205593567314592,0.0008455313244934324
45,3.1962672448625753,5.830898119853093,2.5226754278578842,0.0008117449009293668
46,3.157964019214406,5.802549068744366,3.4232488244116577,0.0007754484907260512
47,3.120324952410197,5.838080846346342,3.24590687036646,0.0007369343312364993
48,3.0809511587770415,5.8641557693481445,2.9608490695044476,0.0006965125158269618
49,3.0397362132477603,5.923559849078838,2.83052507389019,0.0006545084971874737
50,3.0003319768344654,5.947823891272912,3.332130874919801,0.0006112604669781572
51,2.9605007826113234,5.957135237180269,2.6176881734425224,0.0005671166329088278
52,2.9193969905246577,5.968859910964966,2.9608490695044476,0.0005224324151752575
53,2.879940293713073,5.989081107653105,2.5654526328808127,0.0004775675848247426
54,2.8403521051593854,6.028870931038489,3.797394718794663,0.0004328833670911723
55,2.8034645783875245,6.075227810786321,2.7887396313114854,0.00038873953302184284
56,2.767165240638916,6.093500430767353,3.2750904469214257,0.00034549150281252633
57,2.7324690834369534,6.114412784576416,3.4806377014134386,0.0003034874841730383
58,2.697371037697221,6.1268573357508735,2.6893457530660494,0.0002630656687635007
59,2.6660685357444946,6.179970484513503,0.5047835226190643,0.0002245515092739488
60,2.638195384301911,6.171898365020752,2.9608490695044476,0.00018825509907063325
61,2.6093056098048724,6.196193071512075,2.6853985005157064,0.00015446867550656767
62,2.586282340010267,6.221403195307805,3.248130590582649,0.00012346426699819457
63,2.564023273443085,6.241429952474741,3.608262681360673,9.549150281252633e-05
64,2.54554589797209,6.24084026996906,2.733400238312462,7.077560319906695e-05
65,2.527439261313877,6.263862683222844,2.395380775709705,4.9515566048790485e-05
66,2.5164237640522145,6.266972780227661,2.040225857225836,3.18825646801314e-05
67,2.5071303169192314,6.269715877679678,2.733400238312462,1.801856965207338e-05
68,2.497616632311952,6.272176797573383,2.733400238312462,8.035205700685167e-06
69,2.4926177748927363,6.275782530124371,2.733400238312462,2.012853002380466e-06
70,2.492273751946576,6.276860365500817,2.733400238312462,0.001
71,2.9691071858333347,5.999832373399001,0.8506141081669181,0.0009979871469976197
72,3.0742148828402582,5.947901597389808,4.190501004240846,0.0009919647942993148
73,3.0891908965599044,5.93355916096614,0.2643269438176228,0.0009819814303479266
74,3.089709869397232,5.9227141967186565,3.5533036309048596,0.0009681174353198686
75,3.0775064897433344,5.946920853394729,3.4546136514449786,0.0009504844339512095
76,3.0598605385533086,5.905150010035588,4.129710383417378,0.000929224396800933
77,3.0414771711644524,5.965807676315308,2.9608490695044476,0.0009045084971874737
78,3.0189978047913195,5.935651027239286,2.9105741216836294,0.0008765357330018055
79,2.992564967514902,5.940289203937237,2.743785717052078,0.0008455313244934324
80,2.967936412441445,5.96505645605234,2.0417909853346927,0.0008117449009293668
81,2.936240647613093,5.985900365389311,0.6715496380136504,0.0007754484907260512
82,2.905206497458331,6.036048302283654,3.1328675370177077,0.0007369343312364993
83,2.871464413495365,6.024667354730459,2.241806329748738,0.0006965125158269618
84,2.8369317579373297,6.063645913050725,3.263190820048104,0.0006545084971874737
85,2.8009426682083696,6.081791639328003,2.835392035579886,0.0006112604669781572
86,2.7681253610872756,6.12149768609267,3.1653683204030503,0.0005671166329088278
87,2.731498897984656,6.120823805148785,3.0617145991983707,0.0005224324151752575
88,2.69781995858502,6.188753953346839,0.42329161539285903,0.0004775675848247426
89,2.6617739055151515,6.210269249402559,2.3874763066000617,0.0004328833670911723
90,2.629768174198458,6.260392904281616,0.4205593567314592,0.00038873953302184284
91,2.5950074289359297,6.220624080071082,2.919221791773365,0.00034549150281252633
92,2.563008285036274,6.27320150228647,3.3092461652479392,0.0003034874841730383
93,2.537150701925905,6.278847144200252,3.03220298846209,0.0002630656687635007
94,2.5091831507506193,6.311306568292471,3.03220298846209,0.0002245515092739488
95,2.4804250098001983,6.290085224004892,2.64093583595549,0.00018825509907063325
96,2.4591379757800134,6.335249185562134,2.9056617427905715,0.00015446867550656767
97,2.437117859169289,6.33125297839825,3.312652685332894,0.00012346426699819457
98,2.418844056804715,6.350467498485859,3.384337934717644,9.549150281252633e-05
99,2.3995808807073855,6.357189655303955,3.312652685332894,7.077560319906695e-05
100,2.3859051837380933,6.370311590341421,3.03220298846209,4.9515566048790485e-05
101,2.3734714932950753,6.373598703971276,2.1443126809631763,3.18825646801314e-05
102,2.3668132721728488,6.373429426780114,3.379631653224197,1.801856965207338e-05
103,2.3588518628887103,6.378544679054847,2.337899301761988,8.035205700685167e-06
104,2.3536248414864467,6.378573087545542,2.251659460044961,2.012853002380466e-06
105,2.3533595943243157,6.379555060313298,1.502419894985152,0.001
